GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100093630,5.322135325596206,0.13842704188843635,0.5197329380082276,0.2663426382382657,0.7899753380486121,0.9976725059418146
100093631,5.740764376510547,0.26355886885501445,0.4978270485212512,0.5294185393057518,0.596515140201048,0.9976725059418146
1001,2.416840553859255,4.71532974111001,1.7788185314030796,2.650821125295281,0.00802963546742983,
10010,45.98637172689694,-0.1548971696549912,0.1831227872187526,-0.845865072324156,0.39762801916222656,0.9976725059418146
100101266,0.0973262389350317,0.5498906164620753,3.4796847625046103,0.1580288600816456,0.8744340573905822,
100101267,36.74448166630335,-0.06109248325608674,0.3009086845943396,-0.20302665354589752,0.8391141995166161,0.9976725059418146
100101467,15.271890085877448,0.07975292640260465,0.3142827732487953,0.2537616859434734,0.7996796748873596,0.9976725059418146
100101490,2.4827395151319047,-0.14822789465368483,0.6945597402351786,-0.2134127362514486,0.8310050472318303,
100101938,0.0973262389350317,0.5498906164620753,3.4796847625046103,0.1580288600816456,0.8744340573905822,
10011,60.44760441223698,-0.4224943973619036,0.20543880202984482,-2.056546247288408,0.03972989332807807,0.5557364830295844
100113378,0.0,,,,,
100113381,0.0,,,,,
100113382,0.0,,,,,
100113386,7.943808419380703,0.21675984480002553,0.4223741218733342,0.513193951936832,0.6078156562133328,0.9976725059418146
100113389,0.0,,,,,
100113391,0.0,,,,,
100113392,0.0,,,,,
100113393,0.0,,,,,
100113407,20.86111684064085,-0.20475282611786294,0.3024408175577368,-0.6770012982086159,0.4984051306846925,0.9976725059418146
100124412,0.0,,,,,
100124533,0.0,,,,,
100124534,7.195411274035848,-0.6544740438682335,0.7545051725744155,-0.8674215468068032,0.38571108025672807,0.9976725059418146
100124535,0.0,,,,,
100124536,2.359182831895896,-0.6337687769977502,0.9982590063344199,-0.6348740887647307,0.525510537601968,
100124537,0.0,,,,,
100124538,0.0,,,,,
100124539,1.1258834758902347,0.255656871784526,1.1587361311820696,0.22063424528216014,0.8253772342030387,
100124700,0.0,,,,,
100125288,0.08686150514919325,0.5498906164620753,3.4796847625046103,0.1580288600816456,0.8744340573905822,
100125556,1.5805457157731873,-0.7573087400988614,0.9305014355894173,-0.8138716514920273,0.41571848233831044,
100126270,0.0,,,,,
100126299,0.0,,,,,
100126313,0.0,,,,,
100126328,0.0,,,,,
100126329,0.0,,,,,
100126330,0.0,,,,,
100126780,0.0,,,,,
100126781,0.0,,,,,
100126784,2.5886339883552516,1.4166417715526092,0.7994236446198519,1.772078898449722,0.07638146120414421,
100126791,13.3323985112708,0.18736353498575226,0.4060609320409474,0.4614172903658174,0.6444992488826427,0.9976725059418146
100126793,0.8826697676234643,0.29017232502237755,1.1831283803210335,0.24525852802520157,0.8062562610458899,
100127206,0.0,,,,,
100127888,0.0,,,,,
100127889,0.0,,,,,
100127983,2.169087660416118,0.23417605758512802,0.7440113267786651,0.31474797379636227,0.7529530162427966,
100128025,0.6171540789896356,-0.02740765020214718,1.4704262587452672,-0.018639255140570236,0.985128887195002,
100128054,0.0,,,,,
100128071,0.6894053397598585,1.2564184738666342,1.4658256921512178,0.8571404366795743,0.39136727583364317,
100128076,0.0,,,,,
100128081,0.0,,,,,
100128098,0.0,,,,,
100128124,0.0,,,,,
100128126,1.2597537643306178,0.6433821603653749,1.0328977671483082,0.6228904552109418,0.5333565107275522,
100128164,0.0,,,,,
100128176,0.7712809969518983,1.495996535376806,1.4199448652783788,1.0535595937265616,0.29208459674759557,
100128191,0.10959070379805984,0.5498906164620759,3.4796847625046103,0.1580288600816458,0.874434057390582,
100128239,0.0,,,,,
100128252,10.764277047338727,0.26746925095816754,0.35145129721192014,0.7610421503064971,0.4466318916790869,0.9976725059418146
100128264,0.0,,,,,
100128285,0.0,,,,,
